l_mean,l_std,t_mean,t_std,count,class
1514.0,0.0,0.0005252912415930973,0.0003538829147865194,0,2
1514.0,0.0,0.0005319394058917635,0.00036255469593588998,0,2
1514.0,0.0,0.00051166424200163412,0.00031151257899005854,0,2
1514.0,0.0,0.00052579803083410215,0.0003339542072774268,0,2
1514.0,0.0,0.00051678365199410133,0.00030844701655178441,0,2
1514.0,0.0,0.00053237670630066833,0.0003215120775452559,0,2
1514.0,0.0,0.00053383477369145537,0.00039029616442468257,0,2
1514.0,0.0,0.00057980403229219827,0.00058673022965197901,0,2
1514.0,0.0,0.00057020139454597206,0.00055948548403719387,0,2
1514.0,0.0,0.00056349692033163862,0.00051592670789336339,0,2
1514.0,0.0,0.0005706279122050683,0.00052406699851348783,0,2
1514.0,0.0,0.00056981920596942234,0.00053391706628094836,0,2
1514.0,0.0,0.00052162870090810499,0.00032708101111555429,0,2
1514.0,0.0,0.00052769339863379392,0.00031782304879827164,0,2
1514.0,0.0,0.00051628165508634481,0.00029862988266168627,0,2
1514.0,0.0,0.00051851727854666395,0.00031560513916636718,0,2
1514.0,0.0,0.0005552565033112339,0.00049964110893979826,0,2
1514.0,0.0,0.00052568900525270395,0.0003309947161244457,0,2
1514.0,0.0,0.00052175330157256002,0.0003161538998928948,0,2
1514.0,0.0,0.00057076329561933203,0.00054019004734121078,0,2
1514.0,0.0,0.00051459834803288908,0.00029771478035822837,0,2
1514.0,0.0,0.00053387910277400189,0.00038013621386612505,0,2
1514.0,0.0,0.00052313109738143845,0.00032088868386181372,0,2
1514.0,0.0,0.00053500050875409765,0.00036986668229061355,0,2
1514.0,0.0,0.00052546256750672302,0.00031487833357708261,0,2
1514.0,0.0,0.00057009596321451006,0.00052277092415883982,0,2
1514.0,0.0,0.00055866744650069188,0.00050030274627297267,0,2
1514.0,0.0,0.00056108038629119721,0.00050562148085313871,0,2
1514.0,0.0,0.00051241783640492507,0.00029882312599488709,0,2
1514.0,0.0,0.00056947295989223461,0.00055555212409877873,0,2
1514.0,0.0,0.00051202486507856664,0.00029517910024965131,0,2
1514.0,0.0,0.0005104829318559349,0.00030040445240748874,0,2
1514.0,0.0,0.00050589547085402604,0.00028202383569961162,0,2
1514.0,0.0,0.00052224092148057185,0.00032357771042838059,0,2
1514.0,0.0,0.00052520018726138009,0.00034000343724639097,0,2
1514.0,0.0,0.00057463789705056037,0.00054683283480590932,0,2
1514.0,0.0,0.00056374851782717294,0.00051804319755600155,0,2
1514.0,0.0,0.00055440226990972929,0.00044949880873439092,0,2
1514.0,0.0,0.00054139108514066915,0.00044553053373698969,0,2
1514.0,0.0,0.00054206081371211529,0.00040266975942072311,0,2
1514.0,0.0,0.00051884435529085855,0.00032238402470890029,0,2
1514.0,0.0,0.00052797015587888174,0.00034530073572274617,0,2
1514.0,0.0,0.00051989507435554238,0.00031518305749267481,0,2
